macro_category,num_categories,original_categories
Thể thao,36,"ASEAN Cup, ASIAD 2018, Asiad 2018, Bóng rổ, Bóng đá Quốc tế, Bóng đá Thanh Niên Sinh viên, Bóng đá Tây Ban Nha, Bóng đá Việt Nam, Bóng đá quốc tế, Bóng đá sự kiện, Dự đoán bóng đá, EURO 2020, EURO 2024, Euro 2016, Euro 2020, Euro 2024, Ngoại hạng Anh, Premier League, SEA Games 2019, SEA Games 29, SEA Games 31, SEA Games 32, SEA Games 33, Thể Thao Cười, Thể thao, Thể thao 24h, Thể thao Việt Nam, Thể thao,World Cup Qatar 2022, Văn hóa - Thể thao, World Cup, World Cup 2018, World Cup 2022, World Cup 2026, eSports, Đồng hành SEA Games, Ống nhòm sân cỏ"
Thị trường,1,Thị trường
Thời sự,2,"Thời luận, Thời sự"
Thời trang,4,"Thư viện thời trang, Thời trang, Thời trang 24/7, Thời trang nghề & nghiệp"
Tiêu dùng,3,"Thị trường - Tiêu dùng, Thị trường - tiêu dùng, Tiêu dùng"
Tài chính,5,"Tài chính, Tài chính - Chứng khoán, Tài chính - Ngân hàng, Tài chính 4.0, Tư vấn tài chính"
Viễn thông,1,Mobile
Việc làm,1,Lao động - Việc làm
Văn hóa,10,"Chuyển động văn hóa, Dân tộc thiểu số và miền núi, Dân tộc và Tôn giáo, Lối sống, Người Việt bốn phương, Thế giới sách, Truyền thống, Tư liệu văn hóa, Văn hóa, Đời sống văn hóa"
Văn nghệ,1,Văn hóa - Văn nghệ
Xe cộ,14,"Giá xe, Thế giới xe, Văn hóa xe, Xe, Xe - Giao thông, Xe máy, Xe mới, Xe thể thao, Xe và luật, Xe Điện, Xe++, Ô tô - Xe máy, Ôtô, Đánh giá xe"
Xã hội,2,"Xã hội, Xã hội,PLO"
Y tế,3,"Thành tựu Y khoa, Thành tựu y khoa, Y tế"
Âm nhạc,6,"Nhạc, Nhạc Hàn, Nhạc Việt, Nhạc Âu Mỹ, Văn nghệ, Âm nhạc"
Điện ảnh,13,"Hậu trường, Phim, Phim - Truyền hình, Phim chiếu rạp, Phim truyền hình, Phim ảnh, SHOWBIZ MUÔN MÀU, Sao Châu Á, Sao Hollywood, Thế giới sao, Điện ảnh, Đời nghệ sĩ, Đời sống Sao"
Đoàn - Hội,1,Đoàn - Hội
Đô thị,1,Đô thị
Địa ốc,1,Địa ốc
Đời sống,1,Đời sống
Ẩm thực,5,"Món ngon, Món ngon - Điểm đẹp, Ăn Ăn Uống Uống, Địa điểm ăn uống, Ẩm thực"
